"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Alabama","Baldwin",2007,269,161,92,15,1,0,0,154,87,46,0,0,184,85,0
"Alabama","Clay",2007,283,120,151,10,2,0,0,166,86,54,0,0,190,93,0
"Alabama","Colbert",2007,283,149,119,15,0,0,0,122,90,49,0,0,190,93,0
"Alabama","DeKalb",2007,362,186,148,27,1,0,0,169,93,49,0,0,296,66,0
"Alabama","Elmore",2007,244,162,75,6,1,0,0,151,77,45,0,0,244,0,0
"Alabama","Escambia",2007,107,26,80,1,0,0,0,137,74,56,0,0,0,107,0
"Alabama","Etowah",2007,323,99,202,22,0,0,0,145,87,58,0,0,113,210,0
"Alabama","Houston",2007,276,150,118,7,1,0,0,161,77,49,0,0,175,101,0
"Alabama","Jefferson",2007,365,12,280,56,16,1,0,203,127,76,18,0,73,231,43
"Alabama","Lawrence",2007,282,133,126,22,1,0,0,156,97,51,0,0,202,80,0
"Alabama","Madison",2007,364,185,154,23,2,0,0,182,93,50,0,0,275,87,2
"Alabama","Mobile",2007,359,234,106,17,2,0,0,164,77,44,0,0,187,90,82
"Alabama","Montgomery",2007,353,94,240,14,5,0,0,160,87,58,0,0,96,257,0
"Alabama","Morgan",2007,284,113,142,27,2,0,0,172,101,57,0,0,194,90,0
"Alabama","Russell",2007,354,73,263,15,3,0,0,167,90,61,0,0,68,286,0
"Alabama","Shelby",2007,284,127,128,23,6,0,0,182,101,54,0,0,193,91,0
"Alabama","Sumter",2007,239,191,46,2,0,0,0,140,74,40,0,0,239,0,0
"Alabama","Talladega",2007,118,31,86,1,0,0,0,113,80,57,0,0,0,118,0
"Alabama","Tuscaloosa",2007,274,135,121,16,2,0,0,159,93,51,0,0,182,92,0
"Alabama","Walker",2007,117,27,88,2,0,0,0,115,81,59,0,0,0,117,0
"Alaska","Aleutians East ",2007,113,111,2,0,0,0,0,61,31,13,0,0,0,113,0
"Alaska","Anchorage ",2007,301,268,32,1,0,0,0,135,51,22,114,0,0,82,105
"Alaska","Denali ",2007,356,354,2,0,0,0,0,51,42,33,0,0,352,4,0
"Alaska","Fairbanks North Star ",2007,332,182,136,12,2,0,0,163,82,43,12,0,0,320,0
"Alaska","Juneau ",2007,135,106,26,3,0,0,0,127,60,22,0,0,0,130,5
"Alaska","Kenai Peninsula ",2007,108,107,1,0,0,0,0,63,18,7,0,0,0,108,0
"Alaska","Matanuska-Susitna ",2007,132,109,22,1,0,0,0,107,56,17,0,0,0,122,10
"Alaska","Wrangell Petersburg",2007,114,114,0,0,0,0,0,33,14,6,0,0,0,114,0
"Arizona","Apache",2007,365,340,25,0,0,0,0,80,46,26,0,0,0,21,344
"Arizona","Cochise",2007,357,226,130,1,0,0,0,108,71,46,0,0,310,42,5
"Arizona","Coconino",2007,357,200,155,2,0,0,0,131,80,49,0,0,328,29,0
"Arizona","Gila",2007,336,134,179,23,0,0,0,126,93,56,0,0,177,31,128
"Arizona","Graham",2007,60,59,1,0,0,0,0,54,31,19,0,0,0,0,60
"Arizona","La Paz",2007,212,112,94,6,0,0,0,136,87,50,0,0,212,0,0
"Arizona","Maricopa",2007,365,37,262,64,1,0,1,408,115,77,0,46,164,26,129
"Arizona","Mohave",2007,120,99,20,1,0,0,0,121,55,29,0,0,0,104,16
"Arizona","Navajo",2007,311,198,111,2,0,0,0,112,77,46,0,0,286,17,8
"Arizona","Pima",2007,365,165,189,11,0,0,0,127,84,52,0,17,253,54,41
"Arizona","Pinal",2007,365,39,118,116,49,19,24,2332,221,108,0,0,56,17,292
"Arizona","Santa Cruz",2007,358,161,183,14,0,0,0,140,88,52,0,0,0,33,325
"Arizona","Yavapai",2007,120,112,8,0,0,0,0,82,43,21,0,0,0,98,22
"Arizona","Yuma",2007,365,205,140,17,3,0,0,198,78,48,0,7,164,0,194
"Arkansas","Arkansas",2007,114,40,74,0,0,0,0,98,71,55,0,0,0,114,0
"Arkansas","Ashley",2007,115,35,80,0,0,0,0,90,70,54,0,0,0,115,0
"Arkansas","Clark",2007,358,323,33,2,0,0,0,129,50,33,0,0,358,0,0
"Arkansas","Crittenden",2007,365,220,115,27,3,0,0,177,93,45,0,57,225,83,0
"Arkansas","Faulkner",2007,111,41,70,0,0,0,0,91,72,54,0,0,0,111,0
"Arkansas","Garland",2007,114,33,81,0,0,0,0,100,70,55,0,0,0,114,0
"Arkansas","Jackson",2007,120,38,81,1,0,0,0,106,75,55,0,0,0,120,0
"Arkansas","Newton",2007,364,260,96,8,0,0,0,147,77,44,0,0,311,53,0
"Arkansas","Phillips",2007,113,41,71,1,0,0,0,103,75,55,0,0,0,113,0
"Arkansas","Polk",2007,364,225,129,8,2,0,0,166,80,46,0,0,283,81,0
"Arkansas","Pope",2007,119,36,82,1,0,0,0,104,72,56,0,0,0,119,0
"Arkansas","Pulaski",2007,365,80,263,18,3,1,0,259,88,59,0,3,80,282,0
"Arkansas","Sebastian",2007,117,34,83,0,0,0,0,98,71,54,0,0,0,117,0
"Arkansas","Union",2007,108,34,74,0,0,0,0,100,75,56,0,0,0,108,0
"Arkansas","Washington",2007,365,324,39,2,0,0,0,115,54,35,0,0,365,0,0
"Arkansas","White",2007,117,47,70,0,0,0,0,100,72,54,0,0,0,117,0
"California","Alameda",2007,365,245,111,8,1,0,0,164,71,42,0,26,164,175,0
"California","Amador",2007,349,270,69,10,0,0,0,122,71,38,0,0,349,0,0
"California","Butte",2007,365,177,148,38,2,0,0,174,101,52,0,0,246,118,1
"California","Calaveras",2007,359,248,97,14,0,0,0,143,80,43,0,0,340,18,1
"California","Colusa",2007,365,227,130,7,1,0,0,153,70,44,0,0,183,182,0
